path	sha256	bytes	status	upstream_family	reference	notes
UI/Icons/eventquest_complete.blp	bc748b6625a59165fc365ac49c3a1062c5f1f470ae32857ff7eb7b57ba677da2	6632	historical-attribution-unverified	Questie	Questie event quest artwork family (project history)	Companion completed-event artwork; historical project documentation attributes event presentation to Questie, but the exact upstream snapshot is unavailable.
UI/Icons/flight.tga	bed93611dcfe79b1bf3e745452872e35671fbe5f6c8cee82bb6d52c2da3e2f4c	2800	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/flight.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/glow.blp	6ebc111ccf573f3bb657538cc3a9d51c3dc46f6653d2da3318516e6528d0229c	2564	exact-byte-match	Questie	Questie/Icons/glow.blp	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/incomplete.blp	ee340f5af08b61dde1990e93143c5cea26280e735e4c14502663fccb4473fec4	6632	unresolved-in-current-reference-set	Unresolved	No exact match in supplied Questie 5.2.3/6.0.0 or pfQuest reference snapshots	Existing asset preserved unchanged; this audit does not guess its origin or grant additional rights.
UI/Icons/innkeeper.tga	8cd3479c12f1dc2941b060e7fc6f3ed59751320d066b15e29aa55fe2cfa08bf9	2427	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/innkeeper.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/interact.blp	bdd6e7b6f7c77f2f0ab20576baf2ff516213f5c013f734a1aebd59309339cddb	2196	historical-attribution-unverified	Questie	Questie 8.0.0 objective artwork (project history)	Project history states the mature Questie 8.0.0 objective BLP set was used and that Interact/Event artwork was bundled; the exact Questie 8.0.0 snapshot is not available in the current workspace.
UI/Icons/loot.blp	237974b610c9d3304084b783b35d9021138a7f40d3961c621d1e04accd527e5b	2564	exact-byte-match	Questie	Questie/Icons/loot.blp	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/mailbox.tga	be4bd51e444e84c2e6de7e36e7a0c3c257b6278662ebaa915d0689ea3443351f	2404	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/mailbox.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/meetingstone.tga	667dfa5f2fac4d483f1f50b30aef19ae37c2d8a58c866eeb0a55802fbd3c10d8	2961	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/meetingstone.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/object.blp	e31ade1d9db371cb3e2b1c78d459a22382d9b11e7c6eb1943813b1793d8b6254	2564	exact-byte-match	Questie	Questie/Icons/object.blp	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/pfquest_node.tga	06fd289a3728eb334b8814910647056034e71b23570bb53b901f99db1f7416fe	4140	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/node.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/pvp_available.tga	f92d3f7fa710b77bb859c9d577fb2dedba515302325747d9fe12c1a60e2acfae	4140	project-supplied-conversion	Questie-Octo project input	Maintainer-supplied PvP marker reference	Conversion of the red PvP available-quest marker reference supplied directly for the project.
UI/Icons/pvp_complete.tga	b186e53572de5ddd8141fd2b75edec61d2d22401a8bffe43d381681eab340416	4140	project-supplied-conversion	Questie-Octo project input	Maintainer-supplied PvP marker reference	Conversion of the red PvP completed-quest marker reference supplied directly for the project.
UI/Icons/rares.tga	5ded56ce1654f38861e1e770a40af62bd4f5c2f0f7003e53a937a40a1a2d9428	1846	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/rares.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/repair.tga	2fb8989ef6682c6875c7bc257f59b1878dbc103988912a6b13b73e4aeacac451	2433	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/repair.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/repeatable.blp	be58d5071aafd85fc13a3fa361cf1ec79b38b9838d9e8f09e6f03ef3f7162022	2564	exact-byte-match	Questie	Questie/Icons/repeatable.blp	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/slay.blp	1a5ab061ac2649cf1953e1ebb82ed9cf957b15937fdf77711861c69038b6db08	2564	exact-byte-match	Questie	Questie/Icons/slay.blp	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/spirithealer.tga	5a25ab4b4e152fc388dc1413ba584f9e320f1064c27f928fbfc5a44dc419057f	3784	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/spirithealer.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/stablemaster.tga	6a0ee9c0d8dc83dbaab8080396477ee2b89c1e8c72e12dd73582598dcdd6dc13	2385	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/stablemaster.tga	SHA-256 exact byte match to the supplied reference snapshot.
UI/Icons/vendor.tga	463997d72c58c55d6fe966fbd100f61b2a1320a788138e3e7269ea8cb2dba869	2482	exact-byte-match	pfQuest-classicAPI-octo	pfQuest-classicAPI-octo/img/tracking/vendor.tga	SHA-256 exact byte match to the supplied reference snapshot.
